Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
yes,,Filipe Castro,Founder & Special Projects Director ,Utrust,,,,Accepting cryptocurrency with confidence today,"With blockchain technology and cryptocurrencies increasing in adoption and maturity, what key insights should companies take from these trends? And how can e-commerce and other organisations take part of this web3 centric world, incorporating virtual assets in their payment flow without any of the associated risks? ",https://www.linkedin.com/in/phicsr/,@filipe_mco,,,Conf42 Web3 2022 - Filipe Castro.pdf,web3_filipe_castro.png,https://youtu.be/EQyN5URz7ak,"cryptocurrency,confidence",30
no,main,Meghana Rao,Security Analyst,Deep Armor,Ananya M Gowda,Security Analyst,Deep Armor,Attacking Bluetooth LE design and implementation in mobile + wearables ecosystems,"Consumer IoT devices manifest in many forms, including fitness bands. We deep-dive into the wireless protocol of choice for wearables -Bluetooth Low Energy (BLE), and its impact from a security perspective. We'll perform a live demo on stealing info from a fitness tracker using standard Android app.",https://www.linkedin.com/in/meghana-rao-1860b4127/,@b_meghnarao,https://www.linkedin.com/in/ananya-m-001967220/,,Conf42 Web3 2022 - Meghana Bidarahalli & Ananya M Gowda.pdf,web3_meghana_rao_ananya_m_gowda.png,https://youtu.be/FqJfXaAGogI,"bluetooth,mobile,wearables,ecosystems",
no,main,Kevin Jones,Senior Product Manager,NGINX,,,,Build on Ethereum Quickly and Easily with Scaffold-ETH,"Join Kevin Jones for a session on Scaffold-ETH, an off-the-shelf stack for rapid prototyping on Ethereum, giving developers access to state-of-the-art tools to quickly learn and ship an Ethereum-based dApp.",https://www.linkedin.com/in/kevinjones-crypto/,@cryptomastery_,,,Conf42 Web3 2022 - Kevin Jones.pdf,web3_kevin_jones.png,https://youtu.be/avuPa3ldmCc,"build,ethereum,easily,scaffold-eth",
no,main,Andrea D'Intino,Co-founder,Forkbomb,,,,Zenroom: cryptographic VM for blockchain interop,"[Zenroom](https://zenroom.org), is a cryptographic virtual machine programmable in an English-like DSL. Zenroom performs a range of cryptographic flows (different signatures, zero knowledge proof, quantum proof crypto) and can produce a raw transaction for Ethereum and Bitcoin.",https://www.linkedin.com/in/andrea-d-intino/,@ForkbombEu,,,,web3_andrea_d'intino.png,https://youtu.be/cjkQeoQKxsM,"zenroom,cryptographic,vm,blockchain,interop",
no,main,Syed Rehan,Senior Global IoT Developer Evangelist,AWS,,,,Zero Trust Security with IoT,"The internet of things (IoT) covers billions of interconnected devices reachable through the internet from any location and device. Too often, “reachable” can include unauthorized entities as well as intended users.",https://www.linkedin.com/in/iamsyed/,@SyedCloud,,,Conf42 Web3 2022 - Syed Rehan.pdf,web3_syed_rehan.png,https://youtu.be/wdp1PSunTiw,"zero,trust,security,iot",
